smiles,template,compound_set,hit1,hit2,hit3,hit4
CC(C)(C)C(=O)C(O)c1ccncn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0587a/d0587a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
CC(C)(C)OCC(O)c1ccncn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
CC(C)(C)OCC(O)c1ccncn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0587a/d0587a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
C#CCCCC(=O)C(O)c1cncnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
C#CCCCC(=O)C(O)c1cncnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0587a/d0587a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
CCC(C)(O)C(=O)c1cncnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
CCC(C)(O)C(=O)c1cncnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0587a/d0587a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
C=CCC(=O)C(O)c1cncnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
C=CCC(=O)C(O)c1cncnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0587a/d0587a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
CCCN(CCC)S(=O)(=O)NC(C)c1ncccn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
COCC(O)c1cncnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
COCC(O)c1cncnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0587a/d0587a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
COCC(C)(O)C(=O)c1cncnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
COCC(C)(O)C(=O)c1cncnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0587a/d0587a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
C=CCC(=O)C(O)c1ccncn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
C=CCC(=O)C(O)c1ccncn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0587a/d0587a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
CCC(O)(COC)C(=O)c1cncnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
CCC(O)(COC)C(=O)c1cncnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0587a/d0587a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
CC(NS(=O)(=O)CC(C)(C)C#N)c1ncccn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
CC(NS(=O)(=O)CC#N)c1ncccn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
CC(NS(=O)(=O)CC#N)c1ncccn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0587a/d0587a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
