smiles,template,compound_set,hit1,hit2,hit3
Cc1oc2ccccc2c1CCNc1nccn2cccc12,z0111a,knitwork_green_site_impure,z0111a,3vws-b,
CC(CNc1cc(C(F)F)nc2ncnn12)Cc1ccccn1,z0521a,knitwork_green_site_impure,z0496a,z0521a,
Cc1oc2ccccc2c1C(C)NCc1nc2c(s1)CCC2,z0384a,knitwork_green_site_impure,z0384a,3vws-b,
CCOC(=O)c1oc2ccccc2c1COC(=O)Cc1noc2ccccc12,z0111a,knitwork_green_site_impure,z0111a,3vws-b,
O=C(Cc1coc2cc(O)ccc12)OCc1nsc2ccccc12,z0111a,knitwork_green_site_impure,z0111a,3vws-b,
O=C(CCc1cncs1)OCc1nc2c(s1)CCCC2,z0200a,knitwork_green_site_impure,d0472b,z0200a,
O=C(NCc1coc2ccc(F)cc12)c1nsc2ccccc12,z0111a,knitwork_green_site_impure,z0111a,3vws-b,
O=C(NCc1coc2ccccc12)c1nsc2ccccc12,z0111a,knitwork_green_site_impure,z0111a,3vws-b,
N#Cc1oc2ccccc2c1OCCc1noc2ccccc12,z0111a,knitwork_green_site_impure,z0111a,3vws-b,
O=CNc1ccc2c(c1)CCCN2,z0364a,knitwork_green_site_impure,z0364a,z0384a,
O=C(Cc1noc2ccccc12)NCCc1cc2ccccc2o1,z0111a,knitwork_green_site_impure,z0111a,3vws-b,
c1cnc2c(c1)CCCC2NCc1cccnc1N1CCCC1,z0200a,knitwork_green_site_impure,d0472b,z0200a,
COCC(OC(=O)CCc1cc2ccccc2o1)c1nccs1,z0384a,knitwork_green_site_impure,z0384a,3vws-b,
CCC(CNC(=O)c1coc2c(OC)cccc12)NCc1ccon1,z0384a,knitwork_green_site_impure,z0384a,3vws-b,
CC(O)CNC(=O)Nc1cccc2cccnc12,z0211a,knitwork_green_site_impure,z0211a,z1040a,
CC(O)CNC(=O)Nc1cccc2cccnc12,z1040a,knitwork_green_site_impure,z0211a,z1040a,
CCOC(=O)C1c2ccccc2CCC12CC2,z0628a,knitwork_green_site_impure,z0165a,z0628a,
Cc1csc(CN(C)C(=O)C(N)Cc2coc3ccccc23)n1,z0384a,knitwork_green_site_impure,z0384a,3vws-b,
O=C(Cc1coc2ccccc12)NCC(O)CNCc1cscn1,z0384a,knitwork_green_site_impure,z0384a,3vws-b,
CCOC(=O)C1CCCc2ccccc21,z0165a,knitwork_green_site_impure,z0165a,z0628a,
CCOC(=O)c1csc(CCNCc2csc3ccccc23)n1,z0384a,knitwork_green_site_impure,z0384a,3vws-b,
CCOC(=O)C1c2occc2CCC12CC2,z0628a,knitwork_green_site_impure,z0165a,z0628a,
CCOC(=O)C12CC1CCc1ccccc12,z0165a,knitwork_green_site_impure,z0165a,z0628a,
CCOC(=O)C12CC1CCc1ccccc12,z0628a,knitwork_green_site_impure,z0165a,z0628a,
NC(Cc1ccccc1)C(=O)Nc1nc2c(s1)CCCC2,z0200a,knitwork_green_site_impure,d0472b,z0200a,
CCNC(C)c1nc2c(s1)CCC2,z0221a,knitwork_green_site_impure,z0221a,z0521a,
CCNC(C)c1nc2c(s1)CCC2,z0521a,knitwork_green_site_impure,z0221a,z0521a,
O=C1CNC(=O)N1c1ccncc1,d0472b,knitwork_green_site_impure,d0472b,z0519a,
CC(=O)CNc1coc2ccccc12,3vws-b,knitwork_green_site_impure,z0384a,3vws-b,
C#CC(OC(=O)C1CCCc2scnc21)c1ccccc1,z0200a,knitwork_green_site_impure,d0472b,z0200a,
CCOC(=O)c1cccc2c1NCCCC2,z0628a,knitwork_green_site_impure,z0165a,z0628a,
CCNCCc1ncco1,z0521a,knitwork_green_site_impure,d0472b,z0521a,
CCOC(=O)c1cccc2c1NCCS2,z0165a,knitwork_green_site_impure,z0165a,z0628a,
CCOC(=O)c1cccc2c1NCCS2,z0628a,knitwork_green_site_impure,z0165a,z0628a,
C(=NOCc1ccccc1)c1nc2c(s1)CCCC2,z0200a,knitwork_green_site_impure,d0472b,z0200a,
CN(CCC(O)c1ccccc1)Cc1nc2c(s1)CCCC2,z0200a,knitwork_green_site_impure,d0472b,z0200a,
CCOC(=O)c1cccc2c1NCCCS2,z0628a,knitwork_green_site_impure,z0165a,z0628a,
OC(CCNCc1nc2c(s1)CCCC2)c1ccccc1,z0200a,knitwork_green_site_impure,d0472b,z0200a,
CCN(CC)c1cscn1,z0521a,knitwork_green_site_impure,d0472b,z0521a,
O=C(OCCn1cncn1)c1cccc2c1NCC2,z0628a,knitwork_green_site_impure,z0165a,z0628a,
CCNC(C)c1nccs1,z0521a,knitwork_green_site_impure,d0472b,z0521a,
c1ccc(NCCc2nc3c(s2)CCCC3)cc1,z0200a,knitwork_green_site_impure,d0472b,z0200a,
c1cnn(-c2nc3c(s2)CCCC3)c1,z0221a,knitwork_green_site_impure,z0221a,z0936a,
O=C(NCCn1ccc2ccccc21)c1cccc2ccccc12,z0107a,knitwork_green_site_impure,z0107a,3vws-b,
O=C(OCCC1CCOC1)c1cccc2c1NCC2,z0628a,knitwork_green_site_impure,z0165a,z0628a,
Cc1cc2ccccc2n1CCNC(=O)c1cccc2ccccc12,z0107a,knitwork_green_site_impure,z0107a,3vws-b,
Nc1cnccc1NCc1c[nH]cn1,z0637a,knitwork_green_site_impure,d0378a,z0637a,
O=C(CCNCc1ccccc1)c1nc2c(s1)CCCC2,z0200a,knitwork_green_site_impure,d0472b,z0200a,
O=C(Cc1cc2ccccc2o1)NCc1ccc2ccoc2c1,3vws-b,knitwork_green_site_impure,3vws-b,3vws-a,
O=C(Cc1cc2ccccc2o1)NCc1ccc2ccoc2c1,3vws-a,knitwork_green_site_impure,3vws-b,3vws-a,
CC(C)(C)c1cc(CNCCn2cnc3c2CCCC3)n[nH]1,d0378a,knitwork_green_site_impure,d0378a,z0653a,
c1ccc(NCCc2nc3c(s2)CCCC3)nc1,z0200a,knitwork_green_site_impure,d0472b,z0200a,
O=C(Cn1ccc2ccccc21)Nc1ccc2ccoc2c1,3vws-b,knitwork_green_site_impure,3vws-b,3vws-a,
O=C(Cn1ccc2ccccc21)Nc1ccc2ccoc2c1,3vws-a,knitwork_green_site_impure,3vws-b,3vws-a,
CC(NC(=O)c1cccc2cc[nH]c12)c1csc2ccccc12,z0107a,knitwork_green_site_impure,z0107a,3vws-b,
CC(NC(=O)c1cccc2cc[nH]c12)c1cccc2ccccc12,z0107a,knitwork_green_site_impure,z0107a,3vws-b,
Cn1cc(S(C)(=O)=NC(=O)Cn2cnc3c2CCCC3)cn1,d0378a,knitwork_green_site_impure,d0378a,z0215a,
O=C(NCCc1cccc2ccccc12)c1cccc2cc[nH]c12,z0107a,knitwork_green_site_impure,z0107a,3vws-b,
O=C(Cc1c[nH]c2ccccc12)NCCn1ccc2ccccc21,z0107a,knitwork_green_site_impure,z0107a,3vws-b,
COc1ccc2c(c1)C(c1cccnc1)CCN2,z0364a,knitwork_green_site_impure,z0364a,z0637a,
O=C1CNC(=O)N1c1cccs1,d0472b,knitwork_green_site_impure,d0472b,z0519a,
CC(C)Cc1cc(C(=O)NCCc2cn3c(n2)SCC3)[nH]n1,d0378a,knitwork_green_site_impure,d0378a,z0653a,
COc1ccc2c(c1)C(c1ccncc1)CCN2,z0364a,knitwork_green_site_impure,z0364a,z0637a,
CCCCc1cc(NC(c2ccncc2)C(C)C)n2ncnc2n1,z0221a,knitwork_green_site_impure,z0221a,z0521a,
O=C(COc1cccc2ccccc12)NCc1nccc2ccccc12,z0111a,knitwork_green_site_impure,z0111a,3vws-b,
c1ccc2nc(-c3ccsc3)ccc2c1,z1040a,knitwork_green_site_impure,d0472b,z1040a,
CC(CN1CC(=O)N(Cc2ccns2)C1=O)OC(F)F,z0519a,knitwork_green_site_impure,z0411a,z0519a,
c1cnn(-c2ccncc2)c1,z0936a,knitwork_green_site_impure,z0496a,z0936a,
CS(=O)(=O)N1CCCc2ccccc21,z0165a,knitwork_green_site_impure,z0165a,z0628a,
CC(CCl)S(=O)(=O)N1CCCc2ccccc21,z0165a,knitwork_green_site_impure,z0165a,z0628a,
