smiles,hit0,hit1
[H]OC([H])([H])C([H])([H])c1c([H])c2c3c(c([H])c([H])c(N([H])C4=NC([H])([H])C([H])([H])C([H])([H])S4)n13)C([H])([H])O2,z0767a,z0892b
[H]OC([H])([H])C([H])([H])c1c([H])c(Br)c([H])n1C(=O)N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],z0767a,z0898a
[H]OC([H])([H])C([H])([H])n1c([H])c(OC([H])([H])F)c(F)c1OC([H])([H])C([H])([H])[H],z0767a,z0927a
[H]OC([H])([H])C([H])([H])c1c([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])n1C([H])([H])[C@]([H])(O[H])C([H])([H])N([H])C([H])([H])[H],z0767a,z0968a
[H]OC([H])([H])[C@@]([H])(n1nc2c([H])c([H])c([H])c([H])c2c1[H])C([H])([H])[H],z0767a,z0991b
[H]c1c([H])c(N([H])C2=NC([H])([H])C([H])([H])C([H])([H])S2)c(N([H])C(=O)C([H])([H])[H])c(N([H])C([H])([H])C([H])([H])[H])c1[H],z0892b,z0136b
[H]c1c(N([H])C2=NC([H])([H])C([H])([H])C([H])([H])S2)c([H])c2c(c1[H])c(C([H])([H])N([H])[H])c([H])n2[H],z0892b,z0184a
[H]c1c([H])c(C([H])([H])C([H])([H])[H])c([H])c(F)c1C(=O)C1=NC([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])S1,z0892b,z0186a
[H]c1c([H])c(C([H])([H])C([H])([H])[H])c([H])c2c1N(C1=NC([H])([H])C([H])([H])C([H])([H])[S@TB13]1([H])C([H])([H])C([H])([H])[H])C([H])([H])[C@@]2([H])C([H])([H])[H],z0892b,z0207a
[H]c1c([H])c(C([H])([H])C([H])([H])[H])c([H])c2c1C1=C(N3C([H])([H])C(=O)N([H])C([H])([H])[C@]3([H])C3=C1SC([H])([H])C3([H])[H])C([H])([H])O2,z0892b,z0397a
[H]c1n[nH]c(C([H])([H])N([H])c2c([H])c(N([H])C3=NC([H])([H])C([H])([H])C([H])([H])S3)c([H])c([H])c2C([H])([H])C([H])([H])[H])c1[H],z0892b,z0481b
[H]c1c([H])c(C([H])([H])C([H])([H])[H])c(C([H])([H])[H])c2c1N(C1=NC([H])([H])C([H])([H])C([H])([H])S1)S(=O)(=O)C2([H])[H],z0892b,z0625b
