smiles,hit0,hit1
[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c2c1C([H])([H])C([H])([H])C([H])([H])[C@@]21N([H])N([H])[C@@]([H])([C@]([H])(N([H])[H])C([H])([H])[H])C1([H])[H],z0165a,z0995a
[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c2c1C([H])([H])C([H])([H])C([H])([H])[C@@]2(N([H])C(=O)N([H])C([H])([H])C([H])([H])N1C(=O)C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H],z0165a,z1018a
[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c2c1[C@]([H])(N([H])C([H])([H])[H])C([H])([H])C([H])([H])C21C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],z0165a,z1040a
[H]/C(N([H])[H])=S(/[H])N([H])c1c([H])c2c(c([H])c1S(=O)(=O)N([H])[H])[C@](OC([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H],z0165a,z1041a
[H]OC(=O)c1c(C([H])([H])[H])oc2c([H])c([H])c(N([H])S(=O)(=O)c3c([H])c([H])c(CN([H])c4c([H])c(S(=O)(=O)N([H])[H])c([H])c5c4C([H])([H])C([H])([H])C([H])([H])N5C([H])([H])[H])c([H])c3[H])c([H])c12,z0165a,3vws-b
[H]OC(=O)[C@@]([H])(N([H])C(=O)c1c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c(=O)n2c1sc1c(N([H])c3c([H])c(S(=O)(=O)N([H])[H])c([H])c4c3C([H])([H])C([H])([H])C([H])([H])N4C([H])([H])[H])c([H])c(OC3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c12)C([H])([H])c1c([H])c([H])c(O[H])c([H])c1[H],z0165a,5iq6-a
[H]OC(=O)C1(N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[C@]23N(C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])[C@]2([H])c4c([H])c([H])c([H])c(Cl)c4N([H])O[C@]2([H])OC([H])([H])C3([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2C1([H])[H],z0165a,6xd0-a
[H]N1C2=C(C([H])([H])C([H])([H])C1([H])[H])[C@@]1(C([H])([H])C([H])([H])N([H])[C@@]1([H])C([H])([H])C#N)[C@@]([H])(C(=O)C([H])([H])[H])C([H])([H])[C@]2([H])C([H])(F)F,z0904a,d0378a
[H]c1nc(C([H])([H])C([H])([H])[C@]([H])(C(=O)C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])([H])[C@@]([H])(C([H])([H])[H])S(=O)(=O)N([H])[H])c1[H],z0904a,z0165a
[H]c1c([H])c2c(c(N([H])S(=O)(=O)C([H])([H])[H])c1C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N2[H],z0904a,d0172a
[H]c1nnc(-c2c([H])c([H])c(N([H])[C@]3([H])C([H])([H])c4c([H])c(C(=O)C([H])([H])[H])c([H])c([H])c4N([H])C3([H])[H])c([H])c2OC([H])([H])[H])o1,z0904a,d0411b
[H]c1nnc(-c2c([H])c(C([H])([H])C([H])([H])/N=C(\c3c([H])c([H])c4c(c3[H])C([H])([H])C([H])([H])C([H])([H])N4[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])o1,z0904a,d0411a
[H]c1nc(-n2c([H])c([H])c([H])c2[H])c(/N=C(\c2c([H])c([H])c3c(c2[H])C([H])([H])C([H])([H])C([H])([H])N3[H])C([H])([H])[H])c([H])c1[H],z0904a,d0472b
[H]c1c(OC([H])(F)F)c2c(c(N([H])C(=S)N([H])[H])c1C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N2[H],z0904a,d0741a
[H]C1C2:C3[C@@H](C1[H])N([H])C([H])([H])C([H])([H])[C@@]3([H])C(=O)C(C([H])([H])[H])=C2C([H])([H])[H],z0904a,z0041a
[H]C1=C([H])N(C([H])([H])[H]):C(OC([H])([H])[H])C([H])=C1C([H])([H])[H],z0904a,z0111a
[H]OC([H])([H])C([H])([H])c1c([H])c([H])c2c(c1N([H])C(=O)C([H])([H])[H])c1c(n2[H])N([H])C([H])([H])C([H])([H])C1([H])[H],z0904a,z0136a
[H]N(C(=O)C([H])([H])[C@@]1(C([H])([H])[H])C2=C(C([H])([H])C3=C(C2([H])[H])C([H])([H])C([H])([H])C([H])([H])N3[H])C([H])([H])C1([H])[H])C([H])([H])[H],z0904a,z0200a
[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])[C@]1([H])N=C(C([H])([H])[H])c2c([H])c([H])c3c(c2N1[H])C([H])([H])C([H])([H])C([H])([H])N3[H],z0904a,z0211a
[H]O[C@@]1([H])N([H])N([H])[C@]2(C([H])([H])C3=C(N([H])C([H])([H])C([H])([H])C3([H])[H])[C@]([H])(F)C2([H])[H])C1([H])[H],z0904a,z0215a
[H]O[C@]1([H])c2c(C([H])([H])[H])c(-c3c([H])c([H])nc([H])c3F)n([H])c2C2=C(N([H])C([H])([H])C([H])([H])C2([H])[H])C1([H])[H],z0904a,z0221a
[H]c1c([H])c2c(c(N([H])C(=O)C([H])([H])N([H])[H])c1C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N2[H],z0904a,z0309a
[H]Oc1c([H])c2c(c3c1C(C([H])([H])[H])=N[C@]([H])(N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])N3[H])C([H])([H])C([H])([H])C([H])([H])N2[H],z0904a,z0351a
[H]N1C2=C(C([H])([H])C([H])([H])C1([H])[H])[C@@]1(C([H])([H])N([H])C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C1([H])[H])[C@@]([H])(C(=O)C([H])([H])[H])C([H])([H])C2([H])[H],z0904a,z0364a
[H]c1c([H])c([C@]([H])(C(=O)C([H])([H])C([H])([H])[H])C([H])([H])[H])c([H])c2c1N([H])C([H])([H])C([H])([H])C2([H])[H],z0904a,z0384a
[H]c1nc([H])c([H])c(C(=O)[C@@](O)(c2c([H])c3c(c([H])c2C([H])([H])[H])N([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])[H])c1[H],z0904a,z0386a
[H]c1c([H])c(N([H])[C@]2([H])N=C(C([H])([H])[H])c3c([H])c([H])c4c(c3N2[H])C([H])([H])C([H])([H])C([H])([H])N4[H])c([H])c([H])c1OC([H])([H])[H],z0904a,z0411a
[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])/N=C(\c1c([H])c(Br)c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])N2[H])C([H])([H])[H],z0904a,z0480a
[H]c1c(F)c2c(c3c1C(C([H])([H])[H])=N[C@]([H])(N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])N3[H])C([H])([H])C([H])([H])C([H])([H])N2[H],z0904a,z0483a
[H]ON1c2c([H])c([H])c(/C(=N\C([H])([H])[C@@]3(C([H])([H])[H])C(=O)N([H])C(=O)N3[H])C([H])([H])[H])c([H])c2C([H])([H])C([H])([H])C1([H])[H],z0904a,z0519a
[H]N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)C([H])([H])[H])[C@@]([H])(C(=O)C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C1([H])[H],z0904a,z0581a
[H]c1c2c(c(F)c(C([H])([H])[H])c1[C@@](O)(C([H])([H])[H])S(=O)(=O)N([H])[H])N([H])C([H])([H])C([H])([H])C2([H])[H],z0904a,z0625a
[H]O/C(=C(\c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])N2[H])C([H])([H])[H])C([H])([H])[H],z0904a,z0628a
[H]c1c([H])c2c(c(N([H])C([H])([H])[C@]3([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c1C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N2[H],z0904a,z0637a
