target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C146018,1,,,,Cc1nc(-c2ccccn2)sc1C(=O)O,FC(F)(F)C12CCC(CN1)C2,Cc1nc(-c2ccccn2)sc1C(=O)N1CC2CCC1(C(F)(F)F)C2,Amidation,,
C146029,1,,,,Cc1nc(-c2ccccn2)sc1C(=O)O,CC(C)(C)CC(N)C(F)(F)F,Cc1nc(-c2ccccn2)sc1C(=O)NC(CC(C)(C)C)C(F)(F)F,Amidation,,
C146115,1,,,,Cc1nc(-c2ccccn2)sc1C(=O)O,CC1(C)CC1C(N)C(F)(F)F,Cc1nc(-c2ccccn2)sc1C(=O)NC(C1CC1(C)C)C(F)(F)F,Amidation,,
C153307,1,,,,Cc1cc(N)nn1CC(F)(F)F,OC1CNC1,Cc1cc(NC(=O)N2CC(O)C2)nn1CC(F)(F)F,Formation_of_urea_from_two_amines,,
C153328,1,,,,Cc1cc(N)nn1CC(F)(F)F,CCC(O)CN,CCC(O)CNC(=O)Nc1cc(C)n(CC(F)(F)F)n1,Formation_of_urea_from_two_amines,,
C153330,1,,,,Cc1cc(N)nn1CC(F)(F)F,NCC(O)CO,Cc1cc(NC(=O)NCC(O)CO)nn1CC(F)(F)F,Formation_of_urea_from_two_amines,,
C153333,1,,,,Cc1cc(N)nn1CC(F)(F)F,NCC(O)CCl,Cc1cc(NC(=O)NCC(O)CCl)nn1CC(F)(F)F,Formation_of_urea_from_two_amines,,
C153335,1,,,,Cc1cc(N)nn1CC(F)(F)F,CC(O)C(N)=S,Cc1cc(NC(=O)NC(=S)C(C)O)nn1CC(F)(F)F,Formation_of_urea_from_two_amines,,
C153339,1,,,,Cc1cc(N)nn1CC(F)(F)F,CC1NCC1O,Cc1cc(NC(=O)N2CC(O)C2C)nn1CC(F)(F)F,Formation_of_urea_from_two_amines,,
C153342,1,,,,Cc1cc(N)nn1CC(F)(F)F,COC(C)CN,COC(C)CNC(=O)Nc1cc(C)n(CC(F)(F)F)n1,Formation_of_urea_from_two_amines,,
