Retro_OK_batch1-2024-12-10-A,,,,,,,,,,,,,,,,,,,,,,,,,,
smiles,name,fragmenstein_runtime,Multi-SuCOS,HIPPO Pose ID,HIPPO Compound ID,_id,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,merge_set,inspiration_1,inspiration_2,inspiration_3,inspiration_4,inspiration_5,inspiration_6,purple,purple-text,green,green-text,blue,blue-text,red,red-text
CN(CCNC(=O)Cc1ccns1)C(=O)c1cncc(O)c1,v92b,[9.172364711761475],0.363177,35318,8409,3683,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211035/C8409-P42'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0191a,d0472a,,,,,,,,,,,TRUE,bad
c1cncc(-c2ncco2)c1,v94a,[1.3835973739624023],0.759738,45494,9110,3684,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211035/C9110-P12'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0160a,d0191a,,,,,,,,,,,TRUE,bad
c1ccc(-n2cccn2)nc1,v95a,[1.7435197830200195],0.717202,45497,9113,3685,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211035/C9113-P12'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0160a,d0191a,,,,,,,,,,,TRUE,bad
c1ccc(-c2nccs2)nc1,v96a,[0.9330174922943115],0.698877,45516,8457,3686,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211035/C8457-P12'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0160a,d0191a,,,,,,,,,,,TRUE,bad
C[C@H](N[C@H](C)[C@@H]1CCCO1)c1cn[nH]c1,v103a,[3.135244131088257],0.602577,63015,13688,3693,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217042/C13688-P12,acceptable,expansion,None,YOGZHRSNFOZWTM-NGZCFLSTSA-N,RdRp_knitwork_primer_grip_n_pocket_pure_fragalysis.sdf,d0160a,d0254a,,,,,,,,,,,TRUE,bad
C[C@H](N[C@H](C)[C@@H]1CCCO1)c1cn[nH]c1,v103b,[3.1487348079681396],0.636728,63019,13688,3694,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217042/C13688-P26,acceptable,expansion,None,YOGZHRSNFOZWTM-NGZCFLSTSA-N,RdRp_knitwork_primer_grip_n_pocket_pure_fragalysis.sdf,d0160a,d0254a,,,,,,,,,,,TRUE,bad
CC[C@H]1OCC[C@@H]1CNCc1cn[nH]c1,v106a,[6.330092430114746],0.527143,63236,15098,3696,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217042/C15098-P26,acceptable,expansion,None,YVVYLMDYBLZVGB-GHMZBOCLSA-N,RdRp_knitwork_primer_grip_n_pocket_pure_fragalysis.sdf,d0160a,d0254a,,,,,,,,,,,TRUE,bad
CC[C@@H]1OCC[C@H]1CNCc1cc[nH]n1,v108a,[3.7079434394836426],0.605302,36923,18275,3698,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211034/C18275-P12'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0160a,d0254a,,,,,,,,,,,TRUE,bad
C1=C[C@H](n2cccn2)CCC1,v113a,[2.134463310241699],0.488039,38898,646,3703,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211038/C646-P66'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0160a,d0851a,,,,,,,,,,,TRUE,bad
O=C(NO[C@H]1CCOC1)N1CCN(c2cccnc2)C(=O)C1,v115a,[11.819782257080078],0.415358,39368,16150,3705,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211034/C16150-P12'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0160a,d0254a,,,,,,,,,,,TRUE,bad
