,compound,smiles,quote_id,quote_entry,quote_price_USD,quote_amount_mg,quote_catalogue,JA curated YES,DF curated NO,AC curated INTERESTING,DF curated INTERESTING,Enamine_Order_1968912,AC curated YES,DF curated YES,JA curated MAYBE,JA curated INTERESTING,JA curated NO,LCD curated YES,LCD curated INTERESTING,#curated YES,#curated NO,#curated INTERESTING
0,734,CC(C)n1cc(NC2=NCCCS2)cn1,,,,,,True,True,,,,,,,,,,,2,2,1
1,743,CC(Cn1cccn1)NC1=NCCCS1,,,,,,,,True,,,,,,,,,,0,0,1
2,778,CCS(=O)(=O)NCC=1C=CC(=NC1)N2CCCC=3C=CC=CC32,923.0,Z4278175298,132.0,5.0,sRDB,,,,True,,,,,,,,,0,0,1
3,890,CCS(=O)(=O)NCC=1C=CN=CC1Cl,874.0,Z2680349149,75.0,5.0,Advanced,True,,,True,True,,,,,,,,2,1,2
4,897,CCS(=O)(=O)NCC=1C=CC(=CC1)OCC=2C=CC=CN2,954.0,Z805640618,79.0,5.0,HTS,True,,,True,True,,,,,,,,2,1,2
5,1941,CN(C=1C=CC=NC1)S(=O)(=O)CCC2CCCO2,781.0,Z1420252205,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
6,3098,CCS(=O)(=O)NCc1ccc(C(=O)N2CC(=O)N2)cc1,,,,,,True,,,True,,,,,,,,,2,1,2
7,18275,CCC1OCCC1CNCc1cc[nH]n1,,,,,,,,True,,,,,,,,,,0,0,1
8,5226,CCOC(=O)CN1N=C(C=CC1=O)C=2C=CC=NC2,919.0,Z3663805978,132.0,5.0,sRDB,,,,True,,,,,,,,,0,0,1
9,16150,O=C(NOC1CCOC1)N2CCN(C=3C=CC=NC3)C(=O)C2,779.0,Z1700699334,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
10,7755,CCS(=O)(=O)NCC1=NC=2C=C(Cl)C=CC2N1,955.0,Z2677388725,79.0,5.0,HTS,True,,True,True,True,,,,,,,,2,1,3
11,1569,CC1=CN=C(CC(=O)NCC=2C=CC(=O)NN2)S1,805.0,Z3336152414,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
12,1778,O=C(O)c1csc(-c2ccc(=O)[nH]n2)n1,,,,,,,,True,,,,,,,,,,0,0,1
13,1905,NCc1csc(-c2ccc(=O)[nH]n2)n1,,,,,,,,True,,,,,,,,,,0,0,1
14,1226,CC(C)(CO)NC(=O)C1=CN=C(S1)C2=CC=C(Cl)S2,966.0,Z1616725039,144.0,5.0,sRDB,True,True,,,True,,,,,,,,2,2,1
